position;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;topicCategories;duration;durationSec;dimension;definition;caption;defaultLanguage;defaultLAudioLanguage;thumbnail_maxres;licensedContent;locationDescription;latitude;longitude;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
1;Corey Schafer;ra5kMCXO-6I;2024-03-05T22:57:56Z;2024-03-05 22:57:56;Automate Your Development Environment Setup with Scripts and Dotfiles;In this video, we'll be learning how I set up my development environments from scratch. I use scripts and dotfiles that I have saved on my Github page to make this process quick and easy. These scripts setup my terminal, VS Code, Sublime Text, and more. If you've ever wanted to know how I have my development environment set up or how I configure my settings, this video is for you. Let's get started... My Dotfiles - https://github.com/CoreyMSchafer/dotfiles Homebrew Tutorial - https://youtu.be/SELYgZvAZbU Git Tutorial - https://youtu.be/HVsySz-h9r4 VS Code Setup (Mac) - https://youtu.be/06I63_p-2A4 VS Code Setup (Windows) - https://youtu.be/-nh9rCzPJ20 ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Programming #Automation;dotfiles,GitHub,terminal setup,automation,development environment,command-line tools,VS Code setup,Sublime Text,programming,software development,Mac setup,developer tools,script automation,configuration management,developer workflow,system setup,MacOS,shell scripting,Bash,Zsh,developer productivity,code editor setup,IDE setup,homebrew,mac,dev machine,dev machine setup,corey schafer,homebrew cask;27;Education;Knowledge,Technology;PT30M9S;1809;2d;hd;FALSE;;en;https://i.ytimg.com/vi/ra5kMCXO-6I/maxresdefault.jpg;1;;;;42930;2027;;0;276
2;Corey Schafer;jRAAaDll34Q;2023-05-21T21:00:10Z;2023-05-21 21:00:10;How to Use ChatGPT as a Powerful Tool for Programming;In this Programming Tutorial video, we will be learning how developers can harness ChatGPT as a tool to help us in our daily workflow. We will be learning how ChatGPT can: write code from scratch, optimize existing code, explain code we don't understand, convert code between different languages, write unit tests, write comments, help us with starting a new project, and more. Let's get started... You can get started with ChatGPT here: https://openai.com/blog/chatgpt ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #ChatGPT #Python #Programming;ChatGPT,chatgpt for programmers,AI for developers,Programming tools,Virtual programming assistant,Coding workflow,AI in software development,Boosting coding skills,Programming tutorial,Python,Javascript,Corey Schafer,Python tutorial;27;Education;Knowledge,Technology;PT31M8S;1868;2d;hd;FALSE;;en;https://i.ytimg.com/vi/jRAAaDll34Q/maxresdefault.jpg;1;;;;286120;7946;;0;445
3;Corey Schafer;HZ8uXq5VG2w;2023-01-09T18:45:00Z;2023-01-09 18:45:00;Python Tutorial: Simulate the Powerball Lottery Using Python;In this Python Programming video, we will be learning how to simulate the Powerball lottery using Python. I have seen several lottery simulations online, but not many of them go in-depth to calculate all of the possible combinations. Here, we will create a simulation that goes through every win condition and simulates the lottery in the way it is played in a real-life situation. Let's get started... The code from this video can be found at: bit.ly/lottery-sim Random Module Tutorial - https://youtu.be/KzqSDvzOFNA List Comprehensions Tutorial - https://youtu.be/3dt4OGnU5sM Set Methods Tutorial - https://youtu.be/r3R3h5ly_8g JSON Tutorial - https://youtu.be/9N6a-VLBa2I ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,lottery,powerball,simulation,python tutorial,powerball simulation,lottery simulation,python for beginners,python programming,corey schafer,tutorial,python random,python sets,python simulation;27;Education;Knowledge;PT38M56S;2336;2d;hd;FALSE;;en;https://i.ytimg.com/vi/HZ8uXq5VG2w/maxresdefault.jpg;1;;;;142149;4349;;0;761
4;Corey Schafer;vQQEaSnQ_bs;2020-09-10T14:15:03Z;2020-09-10 14:15:03;Python YouTube API Tutorial: Using OAuth to Access User Accounts;In this Python Programming Tutorial, we'll be learning how to learning how to use OAuth2 for the YouTube API. This will allow us to access a user's YouTube account for specific reasons. In this video, I'll show how I use this to access my private and unlisted videos from within a Python script. Let's get started... The snippets for this video can be found at: https://gist.github.com/CoreyMSchafer/ea5e3129b81f47c7c38eb9c2e6ddcad7 YouTube API Tutorial - https://youtu.be/th5_9woFJmk YouTube API Docs - https://developers.google.com/youtube/v3 Google API Python Client - https://github.com/googleapis/google-api-python-client ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,youtube api,youtube-api,youtube oauth,google oauth,python oauth,oauth,oauth2,python youtube,python google,google-api-python-client,youtube data api,python api,data science,api tutorial,python youtube api,corey schafer;27;Education;Knowledge,Technology;PT43M21S;2601;2d;hd;FALSE;;en;https://i.ytimg.com/vi/vQQEaSnQ_bs/maxresdefault.jpg;1;;;;140574;2682;;0;349
5;Corey Schafer;1KO_HZtHOWI;2020-07-31T14:30:00Z;2020-07-31 14:30:00;Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos;In this Python Programming Tutorial, we'll be learning how to get the most popular videos in a YouTube playlist. I use scripts like this a lot personally when I don't have time to watch an entire playlist and want to only see the most-watched videos. Surprisingly YouTube doesn't have this ability on their site, but Python allows us to do this programmatically. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-03 YouTube API Tutorial - https://youtu.be/th5_9woFJmk F-Strings Tutorial - https://youtu.be/nghuHvKLhJA Sorting Tutorial - https://youtu.be/D3JvDWO-BY4 Slicing Tutorial - https://youtu.be/ajrtAuDg3yw YouTube API Docs - https://developers.google.com/youtube/v3 Google API Python Client - https://github.com/googleapis/google-api-python-client ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,youtube api,youtube-api,youtube playlist sort,sort playlist,youtube playlist most watched,youtube sort playlist by views,youtube sort playlist,python youtube,google-api-python-client,youtube data api,youtube,python automate,python api,python tutorial,data science,data analysis,api tutorial,python youtube api,corey schafer,youtube data;27;Education;Knowledge,Technology;PT22M8S;1328;2d;hd;FALSE;;en;https://i.ytimg.com/vi/1KO_HZtHOWI/maxresdefault.jpg;1;;;;46332;1108;;0;129
6;Corey Schafer;coZbOM6E47I;2020-06-10T15:53:26Z;2020-06-10 15:53:26;Python YouTube API Tutorial: Calculating the Duration of a Playlist;In this Python Programming Tutorial, we'll be learning how to calculate the duration of a YouTube playlist. The duration of a playlist is likely one of the first things people will look for before watching, but YouTube doesn't currently have this information available on their site. So we will use the API to calculate this for us. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-02 YouTube API Tutorial - https://youtu.be/th5_9woFJmk Regular Expressions Tutorial - https://youtu.be/K8L6KVGG-7o Datetime Tutorial - https://youtu.be/eirjjyP2qcQ YouTube API Docs - https://developers.google.com/youtube/v3 Google API Python Client - https://github.com/googleapis/google-api-python-client ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,youtube api,youtube-api,python youtube,google-api-python-client,youtube data api,youtube,python automate,python api,python tutorial,corey schafer,data science,data analysis,python web api,python automation,python real world examples,api tutorial,application programming interface,python youtube api,youtube data,youtube playlist duration,youtube playlist total time,youtube playlist duration calculator;27;Education;Knowledge,Technology;PT37M38S;2258;2d;hd;FALSE;;en;https://i.ytimg.com/vi/coZbOM6E47I/maxresdefault.jpg;1;;;;56674;1607;;0;178
7;Corey Schafer;th5_9woFJmk;2020-05-29T16:17:07Z;2020-05-29 16:17:07;Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API;In this Python Programming Tutorial, we'll be learning how to use the YouTube API. We will learn how to create an API Key and connect to the YouTube API using Python. This will allow us to get public information from YouTube and do some analysis. In later videos, I will show how I use this API to grab useful information that might not be easily found on YouTube's site directly. Let's get started... The code for this video can be found at: https://bit.ly/YouTubeAPI-01 Google Developers Console - https://console.developers.google.com/ Google API Python Client - https://github.com/googleapis/google-api-python-client YouTube API - https://developers.google.com/youtube/v3 Environment Variable Tutorial - https://youtu.be/5iWhQWVXosU Virtual Environment Tutorial - https://youtu.be/Kg1Yvry_Ydk ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,youtube api,youtube-api,python youtube,google-api-python-client,youtube data api,youtube,python automate,automate the boring stuff,python api,python tutorial,corey schafer,data science,data analysis,python web api,python automation,python real world examples,api tutorial,application programming interface;27;Education;Knowledge,Technology;PT20M49S;1249;2d;hd;FALSE;;en;https://i.ytimg.com/vi/th5_9woFJmk/maxresdefault.jpg;1;;;;203615;5694;;0;330
8;Corey Schafer;RO6JxDOVwLQ;2020-05-11T13:00:10Z;2020-05-11 13:00:10;Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation;In this Python Programming Tutorial, we'll be learning how to use the Patreon API and the Pillow library to automate the creation of images. I'm specifically using this to add credits to the end of my videos to thank my supporters. This video will focus on Patreon supporters specifically, but in the next video, we will see how to use the YouTube API to do the same thing with YouTube Members. Let's get started... Patreon API Documentation - https://docs.patreon.com/ Virtual Environment Tutorial - https://youtu.be/Kg1Yvry_Ydk Environment Variable Tutorial - https://youtu.be/5iWhQWVXosU List Comprehensions Tutorial - https://youtu.be/3dt4OGnU5sM Pillow Tutorial - https://youtu.be/6Qs3wObeWwc ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;python,pillow,patreon,patreon api,automate the,automate the boring stuff,automate the boring stuff with python,python api,python image,pillow text,python pillow text,python tutorial,python (programming language),corey schafer,data science,data analysis,python web api,python automation,python real world examples;27;Education;Knowledge,Technology;PT52M33S;3153;2d;hd;FALSE;;en;https://i.ytimg.com/vi/RO6JxDOVwLQ/maxresdefault.jpg;1;;;;39977;937;;0;88
9;Corey Schafer;N6hyN6BW6ao;2020-04-01T16:30:04Z;2020-04-01 16:30:04;Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc;In this video, we will be learning how to import and export data from multiple different sources. We will cover CSV, JSON, Excel, SQL, and more. This video is sponsored by Brilliant. Go to https://brilliant.org/cms to sign up for free. Be one of the first 200 people to sign up with this link and get 20% off your premium subscription. In this Python Programming video, we will be learning how to load and save data using multiple different sources. We will learn how to read/write data to CSV, JSON, Excel, SQL, and more. This covers the vast majority of formats you'll see in the data science field and will be extremely useful to know. Let's get started... Video Timestamps: Read CSV - 0:56 Write CSV - 3:20 Write TSV - 4:40 Read TSV - 6:00 Write Excel - 6:15 Read Excel - 10:42 (Start at 6:15 to see installed packages) Write JSON - 12:18 Read JSON - 15:41 Write SQL - 16:59 Read SQL - 24:57 (Start at 16:59 to see installed packages) The code for this video can be found at: bit.ly/Pandas-11 StackOverflow Survey Download Page - http://bit.ly/SO-Survey-Download Environment Variables Tutorial - https://youtu.be/5iWhQWVXosU ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python #Pandas;python,pandas,pandas sql,pandas excel,pandas json,pandas csv,pandas url,pandas read,pandas write,pandas import,pandas export,data science,pandas tutorial,python tutorial,corey schafer,data analysis,pandas read_csv,pandas read_excel,pandas read_sql_query,pandas read_sql,pandas to_csv,pandas to_sql,pandas to_excel,pandas read_json,pandas to_json;27;Education;Knowledge,Technology;PT32M45S;1965;2d;hd;FALSE;;en;https://i.ytimg.com/vi/N6hyN6BW6ao/maxresdefault.jpg;1;;;;168022;4372;;0;321
10;Corey Schafer;0Q_8taHAuQQ;2020-03-23T19:47:33Z;2020-03-23 19:47:33;Live Stream - Chat, Q&A, Brews, and Coding;This is my first live stream. I figured since many of us are staying home at the moment we could have a laid back chat, Q&A, drink some brews, and do some sample coding problems. ✅ Support My Channel Through Patreon: https://www.patreon.com/coreyms ✅ Become a Channel Member: https://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g/join ✅ One-Time Contribution Through PayPal: https://goo.gl/649HFY ✅ Cryptocurrency Donations: Bitcoin Wallet - 3MPH8oY2EAgbLVy7RBMinwcBntggi7qeG3 Ethereum Wallet - 0x151649418616068fB46C3598083817101d3bCD33 Litecoin Wallet - MPvEBY5fxGkmPQgocfJbxP6EmTo5UUXMot ✅ Corey's Public Amazon Wishlist http://a.co/inIyro1 ✅ Equipment I Use and Books I Recommend: https://www.amazon.com/shop/coreyschafer ▶️ You Can Find Me On: My Website - http://coreyms.com/ My Second Channel - https://www.youtube.com/c/coreymschafer Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Instagram - https://www.instagram.com/coreymschafer/ #Python;live stream,Q&A,AMA,live coding,corey schafer,live chat,corey schafer python,python tutorial,software engineering,python programming;27;Education;Knowledge;PT1H1M21S;81;2d;hd;FALSE;;;https://i.ytimg.com/vi/0Q_8taHAuQQ/maxresdefault.jpg;1;;;;76673;2901;;0;262
