position;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;topicCategories;duration;durationSec;dimension;definition;caption;defaultLanguage;defaultLAudioLanguage;thumbnail_maxres;licensedContent;locationDescription;latitude;longitude;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
1;ARTE Concert;-oy_Wufl_uQ;2024-03-16T21:58:19Z;2024-03-16 21:58:19;La Maestra 2024 : Competition for women conductors - Semi-Finals (2/2) – ARTE Concert;"#MAESTRA #COMPETITION 🇫🇷 En 2019, la Philharmonie de Paris et le Paris Mozart Orchestra font un constat alarmant : seulement 4,3 % des orchestres sont dirigés par une femme. Pour y remédier, les deux entités s’associent pour mettre sur pied un concours dédié aux cheffes d’orchestre. Ainsi nait La Maestra, dont la 1re édition a eu lieu en 2020 et a bénéficié d’un rayonnement international. 2024 marque la 3e édition de La Maestra. Si en cinq ans les choses ont évolué (le nombre de femmes à la tête d’orchestres permanents est passé à 8 %) le concours a encore tout son sens. Quatorze femmes venues du monde entier se présentent ainsi cette année devant un jury présidé par Nathalie Stutzmann. Les deux premiers jours de la compétition sont consacrés aux éliminatoires, le troisième à la demi-finale et le quatrième à la finale. Ainsi, elles ne seront plus que trois à pouvoir accéder au titre de lauréate, après avoir dirigé un éventail d'œuvres variées, allant de monuments du répertoire à de la création contemporaine Quatre candidates participent au second volet de la demi-finale. Chacune a 45 minutes à sa disposition pour répéter et diriger un concerto (au choix, de Germaine Tailleferre ou de Henri Tomasi) et une oeuvre vocale (un air de Mozart ou bien une sérénade de Britten). Répertoire : Germaine Tailleferre - Concertino pour harpe et orchestre ou Henri Tomasi - Concerto pour guitare et orchestre Wolfgang Amadeus Mozart - La clemenza di Tito ; Air de Sextus ""Parto, ma tu ben mio"" ou Benjamin Britten - Sérénade pour ténor, cor et cordes ; ""Élégie"" et ""Dirge"" Filmé le 16 mars 2024 à la Philharmonie de Paris. ____________ 🇩🇪 2019 kamen die Pariser Philharmonie und das Paris Mozart Orchestra zu einer alarmierenden Feststellung: Nur 4,3 % der Orchester werden von Frauen geleitet. Um hier Abhilfe zu schaffen, beschlossen die beiden Institutionen gemeinsam einen Wettbewerb ins Leben zu rufen, der sich speziell an Dirigentinnen richtet. So fand 2020 die erste Ausgabe von La Maestra statt – und stieß sofort auf internationales Interesse. 2024 wird La Maestra zum dritten Mal ausgerichtet. Auch wenn sich in den vergangenen fünf Jahren einiges getan hat (mittlerweile ist der Frauenanteil an der Spitze ständiger Orchester auf 8 % gestiegen), erweist sich der Wettbewerb für Frauen noch immer als wichtiges Karrieresprungbrett. In diesem Jahr stellen sich vierzehn Dirigentinnen aus der ganzen Welt dem Urteil einer Jury unter dem Vorsitz von Nathalie Stutzmann. An den ersten beiden Tagen des Wettbewerbs finden die Vorrunden statt, am dritten Tag das Halbfinale und am vierten das große Finale. Nur drei der Kandidatinnen können sich am Ende zu den glücklichen Preisträgerinnen zählen. Zuvor jedoch müssen sie sich beim Dirigieren einer Reihe unterschiedlicher Werke beweisen, von den zeitlosen Meisterwerken des klassischen Repertoires bis hin zu zeitgenössischen Kompositionen. Drei Kandidatinnen nehmen an diesem ersten Halbfinale teil. Jede von ihnen hat 45 Minuten Zeit, um ein Konzert (wahlweise von Germaine Tailleferre oder Henri Tomasi) und ein Vokalwerk (eine Arie von Mozart oder eine Serenade von Britten) einzustudieren und zu dirigieren. Repertoire: Germaine Tailleferre – Concertino für Harfe und Orchester oder Henri Tomasi – Konzert für Gitarre und Orchester Wolfgang Amadeus Mozart – Clemenza di Tito, Arie des Sesto „Parto, ma tu ben mio“ oder Benjamin Britten – Serenade für Tenor, Horn und Streicher, „Elegy“ und „Dirge“ Aufzeichnung vom 16. März 2024 in der Pariser Philharmonie ____________ [AVAILABLE UNTIL 15/03/2026] More concerts on our website: https://www.arteconcert.com You can also find us on: Facebook: https://www.facebook.com/ARTEConcert/ Twitter: https://twitter.com/ARTEconcertFR Instagram FR: https://www.instagram.com/arteconcertfr/ Instagram DE: https://www.instagram.com/arteconcertde/";Maestra arte,maestra 2024,Maestra finale,maestra philharmonie,maestra competition,arte,concert,arte concert,la maestra competition,la maestra,la maestra arte,maestra arte,women conductors,conductors,women,cheffes,cheffes d'orchestre,live,classical,classical music,female conductors,la maestra arte concert,musique classique,musique,chef d'orchestre,concours,competition,music competition;10;Music;Classical_music,Music;PT3H46M55S;2815;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/-oy_Wufl_uQ/maxresdefault.jpg;1;;;;4857;171;;0;1
2;ARTE Concert;N13K2FvYtbA;2024-03-16T16:43:15Z;2024-03-16 16:43:15;La Maestra 2024 : Competition for women conductors - Semi-Finals (1/2) – ARTE Concert;"#LAMAESTRA2024 #COMPETITION 🇫🇷 En 2019, la Philharmonie de Paris et le Paris Mozart Orchestra font un constat alarmant : seulement 4,3 % des orchestres sont dirigés par une femme. Pour y remédier, les deux entités s’associent pour mettre sur pied un concours dédié aux cheffes d’orchestre. Ainsi nait La Maestra, dont la 1re édition a eu lieu en 2020 et a bénéficié d’un rayonnement international. 2024 marque la 3e édition de La Maestra. Si en cinq ans les choses ont évolué (le nombre de femmes à la tête d’orchestres permanents est passé à 8 %) le concours a encore tout son sens. Quatorze femmes venues du monde entier se présentent ainsi cette année devant un jury présidé par Nathalie Stutzmann. Les deux premiers jours de la compétition sont consacrés aux éliminatoires, le troisième à la demi-finale et le quatrième à la finale. Ainsi, elles ne seront plus que trois à pouvoir accéder au titre de lauréate, après avoir dirigé un éventail d'œuvres variées, allant de monuments du répertoire à de la création contemporaine Pour la demi-finale, chacune a 45 minutes à sa disposition pour répéter et diriger un concerto (au choix, de Germaine Tailleferre ou de Henri Tomasi) et une oeuvre vocale (un air de Mozart ou bien une sérénade de Britten). Répertoire : Germaine Tailleferre - Concertino pour harpe et orchestre ou Henri Tomasi - Concerto pour guitare et orchestre Wolfgang Amadeus Mozart - La clemenza di Tito ; Air de Sextus ""Parto, ma tu ben mio"" ou Benjamin Britten - Sérénade pour ténor, cor et cordes ; ""Élégie"" et ""Dirge"" Filmé le 16 mars 2024 à la Philharmonie de Paris. ____________ 🇩🇪 2019 kamen die Pariser Philharmonie und das Paris Mozart Orchestra zu einer alarmierenden Feststellung: Nur 4,3 % der Orchester werden von Frauen geleitet. Um hier Abhilfe zu schaffen, beschlossen die beiden Institutionen gemeinsam einen Wettbewerb ins Leben zu rufen, der sich speziell an Dirigentinnen richtet. So fand 2020 die erste Ausgabe von La Maestra statt – und stieß sofort auf internationales Interesse. 2024 wird La Maestra zum dritten Mal ausgerichtet. Auch wenn sich in den vergangenen fünf Jahren einiges getan hat (mittlerweile ist der Frauenanteil an der Spitze ständiger Orchester auf 8 % gestiegen), erweist sich der Wettbewerb für Frauen noch immer als wichtiges Karrieresprungbrett. In diesem Jahr stellen sich vierzehn Dirigentinnen aus der ganzen Welt dem Urteil einer Jury unter dem Vorsitz von Nathalie Stutzmann. An den ersten beiden Tagen des Wettbewerbs finden die Vorrunden statt, am dritten Tag das Halbfinale und am vierten das große Finale. Nur drei der Kandidatinnen können sich am Ende zu den glücklichen Preisträgerinnen zählen. Zuvor jedoch müssen sie sich beim Dirigieren einer Reihe unterschiedlicher Werke beweisen, von den zeitlosen Meisterwerken des klassischen Repertoires bis hin zu zeitgenössischen Kompositionen. Drei Kandidatinnen nehmen an diesem ersten Halbfinale teil. Jede von ihnen hat 45 Minuten Zeit, um ein Konzert (wahlweise von Germaine Tailleferre oder Henri Tomasi) und ein Vokalwerk (eine Arie von Mozart oder eine Serenade von Britten) einzustudieren und zu dirigieren. Repertoire: Germaine Tailleferre – Concertino für Harfe und Orchester oder Henri Tomasi – Konzert für Gitarre und Orchester Wolfgang Amadeus Mozart – Clemenza di Tito, Arie des Sesto „Parto, ma tu ben mio“ oder Benjamin Britten – Serenade für Tenor, Horn und Streicher, „Elegy“ und „Dirge“ Aufzeichnung vom 16. März 2024 in der Pariser Philharmonie ____________ [AVAILABLE UNTIL XX/XX/XXXX] More concerts on our website: https://www.arteconcert.com You can also find us on: Facebook: https://www.facebook.com/ARTEConcert/ Twitter: https://twitter.com/ARTEconcertFR Instagram FR: https://www.instagram.com/arteconcertfr/ Instagram DE: https://www.instagram.com/arteconcertde/";Maestra arte,maestra 2024,Maestra finale,maestra philharmonie,maestra competition,arte,concert,arte concert,la maestra competition,la maestra,la maestra arte,maestra arte,women conductors,conductors,women,cheffes,cheffes d'orchestre,live,classical,classical music,female conductors,la maestra arte concert,musique classique,musique,chef d'orchestre,concours,competition,music competition;10;Music;Classical_music,Entertainment,Music,Performing_arts;PT3H3M1S;181;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/N13K2FvYtbA/maxresdefault.jpg;1;;;;4684;195;;0;0
3;ARTE Concert;Uy7NMBTxadk;2024-03-15T17:00:19Z;2024-03-15 17:00:19;PERIGG bei Chat with a DJ - ARTE Concert;Genregrenzen sind PERIGG unbekannt. In ihren Sets steckt die in Berlin lebende Brasilianerin ein weites Feld von auf den ersten Blick ganz unterschiedlicher Clubmusik ab. Ihr Eklektizismus rekontextualisiert Sounds und Genres und erforscht ihre mitunter überraschenden Gemeinsamkeiten und Synergien. Das Ergebnis ist ein Sound, der so schweißtreibend wie spielerisch ist. Visuals by Marco Ciceri ---------------------------------- [AVAILABLE UNTIL 13/03/2029] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/;PERIGG,Perigg,Chat with a DJ,Chat with a DJ Berlin,Chat with a DJ 2024,Berlin,DJ,DJ Set,House,Electro,Elektro,Techno,ARTE Concert,ARTE;10;Music;Electronic_music,Music,Pop_music;PT1H1M19S;79;2d;hd;FALSE;de;de;https://i.ytimg.com/vi/Uy7NMBTxadk/maxresdefault.jpg;1;;;;3083;272;;0;12
4;ARTE Concert;Y1iITH56ld8;2024-03-14T19:00:16Z;2024-03-14 19:00:16;SENU bei Chat with a DJ - ARTE Concert;SENU verliebt sich immer wieder in alte und neue Klänge aus Afrika, Nord- und Südamerika sowie aus den urbanen Räumen der verschiedenen Diasporas. Ihre eklektischen Sets, die  weite Bögen von Afro Beat über Baile Funk, zu UK Funky, Gquom und Rap schlagen, sind geprägt von schweren Basslines und polyrhythmischen Grooves. Sie ist Gründungsmitglied des Berliner Kollektivs Slic Unit. Visuals by Marco Ciceri ---------------------------------- [AVAILABLE UNTIL 13/03/2029] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/;SENU,Senu,Slic Unit,Chat with a DJ,Chat with a DJ Berlin,Chat with a DJ 2024,Berlin,ARTE Concert,ARTE,DJ,DJ Set,House,Electro,Elektro,Techno,Afro Beat,Baile Funk,UK Funky,Interview;10;Music;Electronic_music,Music;PT1H25S;25;2d;hd;FALSE;de;de;https://i.ytimg.com/vi/Y1iITH56ld8/maxresdefault.jpg;1;;;;2010;41;;0;6
5;ARTE Concert;o_-abuyORUI;2024-03-14T17:00:39Z;2024-03-14 17:00:39;Caren Callas bei Chat with a DJ - ARTE Concert;Seit Caren Callas 2004 der Liebe wegen nach Berlin gezogen ist, war sie in ganz unterschiedlichen Rollen im Nachtleben aktiv: sie hat große Festivals organisiert, als Bookerin im kleinen aber feinen Club Farbfernseher gearbeitet, und natürlich viel getanzt. Ihr House-Sound kann sowohl deep als auch techy daherkommen. Visuals by Marco Ciceri ---------------------------------- [AVAILABLE UNTIL 13/03/2029] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/;Caren Callas,Chat with a DJ,Chat with a DJ Berlin,Chat with a DJ 2024,DJ,DJ Set,Berlin,Techno,House,Elektro,Electro,Interview;10;Music;Electronic_music,Music;PT1H3M52S;232;2d;hd;FALSE;de;de;https://i.ytimg.com/vi/o_-abuyORUI/maxresdefault.jpg;1;;;;1641;52;;0;7
6;ARTE Concert;Bh3WfZ2UuyU;2024-03-14T15:01:18Z;2024-03-14 15:01:18;The Ladaniva duo spread their vibrant notes 🎶 #music #ladaniva – ARTE Concert;From Balkan and African music to maloya and reggae with an Armenian folk edge, @ladaniva8694 demonstrate their broad multicultural influences. More concerts on our website: https://www.arteconcert.com You can also find us on: Facebook: https://www.facebook.com/ARTEConcert/ Twitter: https://twitter.com/ARTEconcertFR Instagram FR: https://www.instagram.com/arteconcertfr/ Instagram DE: https://www.instagram.com/arteconcertde/;ladaniva arte,ladaniva arte concert,ladaniva arte replay,ladaniva concerts volants,ladaniva concerts volants arte,arte,concert,arte concert,arte replay,concerts volants,concerts volants arte,concerts volants ladaniva,ladaniva,ladaniva concert,concert de ladaniva,Vay Aman,vay aman ladaniva,ladaniva music,lada niva,lada niva arte,lada niva 2022,les concerts volants arte,ladaniva eurovision,ladaniva eurovision live,eurovision armenia,ladaniva armenia;10;Music;Music,Pop_music,Reggae;PT57S;57;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/Bh3WfZ2UuyU/maxresdefault.jpg;1;;;;2220;95;;0;2
7;ARTE Concert;xPjMMqkZgYw;2024-03-14T14:54:27Z;2024-03-14 14:54:27;Zamdane - Dans le Club - ARTE Concert;#ZAMDANE #DANSMECLUB Le jeune marseillais @ZamdaneOfficiel vient déballer ses textes poignants à la Gaîté Lyrique avec son album mélodique et mélancolique, Solsad. Percutant, aiguisé, sensible : le rap est une affaire personnelle, presque vitale pour Zamdane qui ne cesse de se perfectionner avec le temps. Ses textes sont inspirés de son histoire et de ses expériences, c’est ce qui le rend si puissant et unique aux yeux du public. À tout juste 17 ans et déjà une vie bien remplie, Zamdane s'essaie au rap avec le morceau « Sinbad » et se fait remarquer avec « Favaro ». C’est le début de l’ascension. Il passe du bitume du Cours Julien à Marseille à une session freestyle sur la chaîne YouTube Grünt. Son aisance entre la drill, la trap et des productions plus électro lui vaut d'être adoubé par des artistes comme Dinos, Soso Maness, Josman, Jazzy Bazz et même Pomme. Après une tournée en 2022 dans toute la France avec Couleur de ma peine, l’artiste emblématique de sa génération vient défendre son tout dernier projet Solsad, qui aborde les thèmes qui font sa force : le bled, l’amour et ses traumatismes mais aussi ses espoirs. Dans le Club est en partenariat avec La Place L2P Convention, première convention professionnelle française dédiée au hip-hop. Filmé le 12 mars 2024 à la Gaîté Lyrique, Paris. -------------------------- [AVAILABLE UNTIL 13/03/2025] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/;zamdane arte,zamdane,zamdane dans le club,zamdane dans le club arte,zamdane dans le club arte concert,live session,zamdane dinos,marseille,rap,dans le club arte,dans le club arte concert,dans,le,club,Solsad,Favaro,zamdane solsad,zamdane favaro,live,music;24;Entertainment;Hip_hop_music,Music,Pop_music;PT41M41S;2501;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/xPjMMqkZgYw/maxresdefault.jpg;1;;;;21229;1460;;0;46
8;ARTE Concert;cXMsihbV3rU;2024-03-14T13:06:19Z;2024-03-14 13:06:19;Theodora - Dans le Club - ARTE Concert;#THEODORA #dansleclub Préparez-vous à vous faire secouer par la tempête @MaisonNeptune. Après avoir fait ses premiers pas dans la danse, entre classique, modern jazz et hip-hop, elle s’essaie à l’écriture et au chant à l’aide de son frère producteur et manager Jeez Suave. Son appétit pour la musique est alors insatiable. Cette fine brise rythmé et coloré se transforme très vite en cyclone hyperactif mêlant l’héritage musical transmis par son père et ses propres influences. Elle enregistre son premier single en 2019 avec La Thune puis enchaine en 2021 avec Neptune, un album qui annonce déjà une trajectoire faite de succès. C’est une fois installé en Seine-Saint-Denis que la chanteuse déchaine les éléments et les genres avec un mix de trap, hyperpop, drum’n’bass, appelé le Paradis se trouve dans le 93 où elle aborde des sujets comme ses relations amoureuses, sa santé mentale sous forme de balades autotunées. On la retrouve Dans le Club pour défendre la sortie de son nouveau single FNG Dans le Club est en partenariat avec La Place L2P Convention, première convention professionnelle française dédiée au hip-hop. Filmé le 12 mars 2024 à la Gaîté Lyrique, Paris. ----------------------- [AVAILABLE UNTIL 13/03/2025] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/;Theodora arte,theodora arte dans le club,theodora,theodora rap,dans le club arte,dans le club arte concert,dans le club,arte concert,theodora arte;24;Entertainment;Hip_hop_music,Music,Pop_music;PT26M42S;1602;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/cXMsihbV3rU/maxresdefault.jpg;1;;;;2536;107;;0;2
9;ARTE Concert;WCNGoBY3PF0;2024-03-14T12:58:56Z;2024-03-14 12:58:56;Bu$hi - Dans le Club - ARTE Concert;"#Bu$hi #DANSLECLUB Morceaux révolutionnaires, rap innovant : les fans de Bushi ne sont pas à court de compliments quand il s’agit d’évoquer le style du rappeur. Ce lyonnais livre un mélange de trap à la basse saturée et aux rythmes mélodieux, inspiré du cloud rap et la UK drill, donnant une structure plus lente et plus aérienne à ses textes. Faisant figure d’avant-gardiste du rap, il s’est rapidement fait un nom entre sa ville de naissance (Lyon) et La Réunion, endroit ou il a passé toute sa jeunesse. C’est en 2022 qu’il se fait remarquer grâce au titre « obito » sur TikTok et avec le single « Mistral » réalisé à partir d’un sample de Renaud. Artiste ambitieux, il a pu travailler avec 808 Melo, le beatmaker de Pop Smoke ou encore Wondagurl, collaboratrice de Rihanna, avant de lancer son premier album solo en 2022 avec Interlude. En 2024, il annonce son retour avec sa double mixtape ""Bushi TAPE 3"" avec un premier single en featuring avec Quavo, membre du groupe américain Migos. A défendre Dans le Club, évidemment. Dans le Club est en partenariat avec La Place L2P Convention, première convention professionnelle française dédiée au hip-hop. Filmé le 12 mars 2024 à la Gaîté Lyrique, Paris. --------------------- [AVAILABLE UNTIL 13/03/2025] More concerts on our website : https://www.arteconcert.com You can also find us on : Facebook : https://www.facebook.com/ARTEConcert/ Twitter : https://twitter.com/ARTEconcertFR Instagram FR : https://www.instagram.com/arteconcertfr/ Instagram DE : https://www.instagram.com/arteconcertde/";Bushi,bushi arte,bushi arte concert,bushi dans le club,arte,concert,arte concert,dans le club,dans le club arte concert,bushi dans le club arte concert,Bu$hi,bushi rap,rap,rap music,hip hop,trap,cloud rap,uk drill,dans le club arte,dans le club replay,arte rap,arte concert rap;24;Entertainment;Electronic_music,Hip_hop_music,Music;PT36M31S;2191;2d;hd;FALSE;;fr;https://i.ytimg.com/vi/WCNGoBY3PF0/maxresdefault.jpg;1;;;;10379;753;;0;52
10;ARTE Concert;plrtxwrkIU8;2024-03-13T09:00:42Z;2024-03-13 09:00:42;Adrien M & Claire B - ARTE en Scène - ARTE Concert;Tisser du poétique à partir du numérique, voici le credo d’Adrien M & Claire B. Le duo crée en effet de véritables expériences esthétiques et sensorielles où humains et programmes informatiques évoluent de manière symbiotique. De leur travail nait une véritable magie algorithmique, infusée de douceur et de bienveillance. C’est en 2011 qu’Adrien Mondot (informaticien et jongleur) et Claire Bardainne (artiste plasticienne) commencent à collaborer. A quatre mains, ils brouillent les pistes entre organique et numérique. Projections, réalité virtuelle et autres images immersives permettent au duo de questionner notre rapport au temps et à l’espace. Un travail très poétique flirtant autant avec l’intime que le monumental et qui a énormément fait parler de lui avec Pixel, une œuvre créée en collaboration avec le chorégraphe Mourad Merzouki. Pour ARTE en scène, Adrien M & Claire B revisitent Vanishing Act, performance née dans le cadre du projet Danser Encore pour l’Opéra National de Lyon. Là encore, le numérique se met au service de l’artistique. En effet, le duo construit ici une sorte de cocon fait de lumière : des projections percent les ténèbres, habillent l’espace et le corps d’un danseur. On y retrouve la bienveillance qui habite chacune des œuvres du duo, nous invitant à retrouver le goût du vivre ensemble. [DISPONIBLE JUSQU'AU 14/02/2023] Réalisation : Elie Girard En partenariat avec l'Adami --------------------------------------- ARTE Concert vous propose le meilleur de la scène européenne sur tous vos écrans : http://concert.arte.tv Retrouvez-nous aussi sur les réseaux sociaux : Facebook https://www.facebook.com/ARTEConcert Twitter https://twitter.com/ARTEconcertFR Instagram http://instagram.com/arteconcert;adrien m claire b arte,adrien m claire b en amour,adrien m & claire b,adrien m et claire b,adrien m,claire b,adrien m et claire b gaité lyrique,adrien m et claire b acqua alta,adrien m et claire b chaillot,ARTE,Concert,acqua alta,adrien mondot,adrien mondot et claire bardainne,claire bardainne,Pixel,Mourad merzouki,danse,performance,danse mourad merzouki,arts de la scène,performing arts,arte en scène,live,cirque;24;Entertainment;Entertainment,Performing_arts;PT6M35S;395;2d;hd;TRUE;;fr;https://i.ytimg.com/vi/plrtxwrkIU8/maxresdefault.jpg;1;;;;2075;90;;0;4
