position;channelTitle;videoId;publishedAt;publishedAtSQL;videoTitle;videoDescription;tags;videoCategoryId;videoCategoryLabel;topicCategories;duration;durationSec;dimension;definition;caption;defaultLanguage;defaultLAudioLanguage;thumbnail_maxres;licensedContent;locationDescription;latitude;longitude;viewCount;likeCount;dislikeCount;favoriteCount;commentCount
1;Tate;qbv5ZI2evNY;2024-03-14T14:00:28Z;2024-03-14 14:00:28;Stories from the archive – Evelyn Dunbar | Tate;With over 1 million items, Tate's archive is an incredible place of discovery. We sat down with Tate's Library & Archive Coordinator, Federica Beretta to hear more about her role and the stories behind artist and illustrator, Evelyn Dunbar's archive pieces. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,art history,art historian,archive,archivist,behind the scenes,Tate archive;27;Education;Knowledge;PT3M26S;206;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/qbv5ZI2evNY/maxresdefault.jpg;;;;;1667;93;;0;5
2;Tate;VBfjIMcf71c;2024-02-23T16:00:21Z;2024-02-23 16:00:21;Explore the history of The Tanks | Tate;Tate Modern's Director of Programme Catherine Wood explores the industrial history of Tate's underground art space, The Tanks. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Film,Knowledge;PT5M5S;305;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/VBfjIMcf71c/maxresdefault.jpg;;;;;2928;103;;0;2
3;Tate;5DzdQgo9YHU;2024-02-07T12:52:57Z;2024-02-07 12:52:57;Thank you for watching! Celebrating 1000 films | Tate;Here's to over 1000 films on our YouTube channel, celebrating art in all its forms! Over fifteen years - and more than 50 million views - we've filmed with artists in their homes and studios, on the road and in the garden, on the beach and even on a canoe. There have been road trips, how-to tutorials, animations, music videos, live performances, staff stories, exhibition tours, journeys into the archive and sneak peeks behind-the-scenes at Tate. Thank you to all the artists and visitors who have appeared in our films, to the thousands of crew members who make it all happen - and a big thank you to you all for watching. What has been your favourite Tate film moment? And what would you like us to see from us in the next fifteen years?? Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Entertainment,Film;PT2M37S;157;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/5DzdQgo9YHU/maxresdefault.jpg;1;;;;3889;128;;0;6
4;Tate;lQwrCxkMnPM;2024-01-18T13:41:23Z;2024-01-18 13:41:23;Can art save the world from environmental catastrophe? | Tate;What role can art play in tackling the climate emergency? In this film, we take a look at artworks by L.S. Lowry, Simryn Gill, Abbas Akhavan, Otobong Nkanga and Nicolás García Uriburu, to explore how these artists raise issues connected to the environment and inspire us to take action. Research supported by Hyundai Tate Research Centre: Transnational in partnership with Hyundai Motor Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT5M19S;319;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/lQwrCxkMnPM/maxresdefault.jpg;;;;;4238;224;;0;15
5;Tate;Q2MJvAlGODA;2024-01-01T10:00:16Z;2024-01-01 10:00:16;Julianknxx – 'I listen with openness and find poetry' | Tate;We sat down with artist, filmmaker and poet, Julianknxx to explore new ways of looking to the past through performing memories, gathering stories and re-creating family fictions. See the work as part of our A World in Common: Contemporary African Photography exhibition at Tate Modern, 6 July 2023 – 14 January 2024 Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,Filmmaking,film art,Sierra Leone,Julian Knxx,Julian Knox,A world in Common;27;Education;Entertainment,Film;PT3M22S;202;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/Q2MJvAlGODA/maxresdefault.jpg;;;;;5030;172;;0;6
6;Tate;F74n5lSMYPk;2023-12-11T16:46:52Z;2023-12-11 16:46:52;El Anatsui – 'When you unite things, their power keeps growing' | Tate;We travel to Ghana to meet El Anatsui and see the construction of his monumental installation for Tate Modern's Turbine Hall. Made of thousands of metal bottle tops and fragments, Behind the Red Moon builds on Anatsui’s interest in histories of encounter and the migration of goods and people during the transatlantic slave trade. Sourced in Nigeria, the liquor bottle tops used in this commission form part of a present-day industry built on colonial trade routes.   See Hyundai Commission: El Anatsui: Behind the Red Moon at Tate Modern until 14 April 2024. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT9M7S;547;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/F74n5lSMYPk/maxresdefault.jpg;;;;;29098;682;;0;19
7;Tate;LQY_8XQYubs;2023-11-30T17:16:56Z;2023-11-30 17:16:56;How to create a photoshoot on a budget | Tate Collective;Watch as we challenge young photographer Ejatu Shaw to create professionally shot images inspired by the Tate Modern exhibition ‘A World in Common: Contemporary African Photography’. Will she be able to use her budget of £50 to gather everything from props and camera equipment to models and editing software and deliver this task in under 48 hours? Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT11M45S;705;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/LQY_8XQYubs/maxresdefault.jpg;;;;;4682;231;;0;11
8;Tate;IDbovOp_0zA;2023-11-22T16:39:04Z;2023-11-22 16:39:04;Philip Guston: the restless artist painting everyday evil | Tate;Note: This film includes reference to racism and imagery of racist violence and the Ku Klux Klan. Philip Guston thought hard about the artist's responsibility to bear witness to ‘the brutality of the world‘. Consistently changing and reinventing, he sought to make work that embodies life’s complexities, its beauty, absurdity, humour and suffering. In this short film, curators Michael Wellen and Michael Raymond, conservator Anna Cooper and the artist's daughter, Musa Mayer, recount the story of Guston's life and career, as well as his restless urge to challenge himself creatively. This film was created as part of the Terra Foundation for American Art Series: New Perspectives. It includes extracts from the following documentaries: Philip Guston: A Life Lived, directed by Michael Blackwood (New York: Michael Blackwood Productions, 1981). Conversations with Philip Guston, directed by Michael Blackwood (New York: Michael Blackwood Productions, 2003). https://michaelblackwoodproductions.com Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Knowledge;PT12M44S;764;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/IDbovOp_0zA/maxresdefault.jpg;;;;;149466;4576;;0;133
9;Tate;ZRJtlcdzx9w;2023-11-02T12:45:09Z;2023-11-02 12:45:09;Zohra Opoku – 'Time is the best friend for an artist' | Tate;Artist Zohra Opoku trained as a fashion and textiles designer, and her works combine fabric with photography to interrogate identity. In pieces like Queens and Kings (2017), she explores the ways that tradition and globalisation intersect in modern day Ghana. In this short film, Opoku invites us into her studio in Accra, Ghana, to witness her collaborative approach to art-making. Subscribe for weekly films: http://goo.gl/X1ZnEl;Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art;27;Education;Hobby,Lifestyle_(sociology);PT8M36S;516;2d;hd;FALSE;;en-GB;https://i.ytimg.com/vi/ZRJtlcdzx9w/maxresdefault.jpg;;;;;11499;546;;0;9
10;Tate;hgz3MXd19DE;2023-10-23T11:15:06Z;2023-10-23 11:15:06;A Brief Guide to the Casablanca Art School | Tate;"In this film, Anne Barlow, Director, Tate St Ives, gives us a tour of The Casablanca Art School exhibition and introduces us to some of the school's key artists; Farid Belkahia, Mohammed Chabâa and Mohamed Melehi. See The Casablanca Art School exhibition at Tate St Ives 27 May 2023 – 14 January 2024 Subscribe for weekly films: http://goo.gl/X1ZnEl";Tate,Tate Modern,Tate Britain,Tate Liverpool,Tate St Ives,Art,Modern Art,Contemporary Art,British Art,exhibition tour,Moroccan art,casablanca art,art morocco,Farid Belkahia,Mohamed Melehi,Mohammed Chabâa;27;Education;Hobby,Lifestyle_(sociology);PT4M48S;288;2d;hd;TRUE;;en-GB;https://i.ytimg.com/vi/hgz3MXd19DE/maxresdefault.jpg;;;;;9098;245;;0;5
